MyName,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dists/StdGen/stdNormal/single sample,1.498055344471728e-7,1.479431032870162e-7,1.5326642683716846e-7,7.944544371365068e-9,4.956225541033488e-9,1.2767329294790437e-8
dists/StdGen/stdNormal/sum of samples (implicit rvar),9.562321805191754e-3,9.420979424075337e-3,9.822723522523539e-3,5.069645910718401e-4,2.2373567981716694e-4,8.534009012018338e-4
dists/StdGen/stdNormal/sum of samples (explicit rvar),9.530767186174061e-3,9.453979917073158e-3,9.648826768501758e-3,2.662151744575289e-4,1.800598970592055e-4,3.694605406596787e-4
dists/StdGen/stdNormal/sample of sum,1.0307996087634986e-2,1.0168755866687931e-2,1.0603478266892934e-2,5.177854543178536e-4,2.664623094535607e-4,9.860927620153088e-4
dists/StdGen/stdNormal/array of samples,1.1611766704682665e-2,1.1481426394546683e-2,1.1857812038201875e-2,4.4290916551737233e-4,2.3976515779871078e-4,7.450211406529796e-4
dists/StdGen/stdNormal/RVarT IO arrays,1.2287900209073443e-2,1.2118050551929674e-2,1.2557543624248263e-2,5.513397746067958e-4,3.3860174876899614e-4,7.686301498380638e-4
dists/StdGen/stdUniform/Double/single sample,9.077613627544293e-8,8.996159525575508e-8,9.165527526049316e-8,2.966392859516528e-9,2.3615223096634873e-9,3.771187334556332e-9
dists/StdGen/stdUniform/Double/sum of samples (implicit rvar),5.654317418513625e-3,5.589295340762046e-3,5.721613521321432e-3,1.979625541905332e-4,1.564341362690996e-4,2.4865425411056105e-4
dists/StdGen/stdUniform/Double/sum of samples (explicit rvar),5.719477446724015e-3,5.6674554473192225e-3,5.785221248259664e-3,1.8268014483204922e-4,1.3779581053758458e-4,2.4936529292713885e-4
dists/StdGen/stdUniform/Double/sample of sum,6.86714322764889e-3,6.80403970490817e-3,6.972086409731009e-3,2.275607144168492e-4,1.4714338060302463e-4,3.599205136814083e-4
dists/StdGen/stdUniform/Double/array of samples,6.104393966168402e-3,6.039410495353233e-3,6.180348285159458e-3,2.0498237744613415e-4,1.7059259789652164e-4,2.512154331832481e-4
dists/StdGen/stdUniform/Double/RVarT IO arrays,9.377619545674079e-3,9.258298128269182e-3,9.508086027841355e-3,3.5098406311260166e-4,2.974232827157042e-4,4.3370064886621664e-4
dists/StdGen/stdUniform/Int/single sample,1.0012266037372944e-7,9.933252656595714e-8,1.0144107773988791e-7,3.3375709622670756e-9,2.2981180599158827e-9,4.843333596981184e-9
dists/StdGen/stdUniform/Int/sum of samples (implicit rvar),6.180957312781298e-3,6.122063788237586e-3,6.266073712885417e-3,2.2056533677171375e-4,1.7254794953255865e-4,3.0044690226822737e-4
dists/StdGen/stdUniform/Int/sum of samples (explicit rvar),6.23266062726191e-3,6.169276514745555e-3,6.332870792815495e-3,2.2194267502170225e-4,1.5803861608740472e-4,3.019764511260679e-4
dists/StdGen/stdUniform/Int/sample of sum,7.4913582610952574e-3,7.423242242430149e-3,7.577774917056328e-3,2.1864480405330524e-4,1.7692349234375824e-4,2.742218993176288e-4
dists/StdGen/stdUniform/Int/array of samples,6.68631510495717e-3,6.6019776121872395e-3,6.777799186751438e-3,2.6606740355007545e-4,2.1042994535648096e-4,3.539319558209154e-4
dists/StdGen/stdUniform/Int/RVarT IO arrays,9.493408334273043e-3,9.400900759975878e-3,9.649883151891256e-3,3.1089079927246996e-4,1.8366859103415562e-4,5.131485975338565e-4